0,1
1,7
2,9
3,4
4,14
5,12
6,15
7,22
8,14
9,13
10,11
11,18
12,15
13,10
14,15
15,16
16,11
17,15
18,7
19,17
20,14
21,6
22,8
23,9
24,11
25,8
26,12
27,9
28,12
29,12
30,11
31,6
32,9
33,14
34,15
35,10
36,17
37,15
38,10
39,6
40,7
41,8
42,12
43,11
44,12
45,13
46,17
47,12
48,12
49,10
50,4
51,8
52,11
53,2
54,9
55,5
56,10
57,10
58,9
59,4
60,14
61,21
62,12
63,7
64,6
65,8
66,14
67,9
68,10
69,13
70,10
71,18
72,8
73,20
74,16
75,15
76,14
77,12
78,17
79,7
80,12
81,13
82,15
83,10
84,18
85,10
86,14
87,11
88,17
89,13
90,12
91,6
92,1
93,5
94,2
95,1
