Minute,Number of Silences,Silence Durations (seconds)
58,9,"1.82, 1.00, 3.08, 1.10, 0.60, 1.02, 0.72, 0.64, 1.66"
59,8,"0.66, 0.54, 0.78, 1.26, 1.22, 7.20, 8.72, 21.42"
60,7,"0.56, 3.80, 1.66, 0.80, 2.16, 1.14, 1.10"
61,11,"1.50, 4.98, 0.58, 4.56, 2.38, 1.62, 1.52, 0.52, 1.52, 0.64, 1.04"
62,12,"1.34, 0.60, 3.28, 1.80, 1.10, 1.30, 2.14, 1.08, 1.36, 2.18, 1.22, 2.02"
63,10,"1.28, 1.20, 6.62, 0.78, 2.10, 0.52, 1.74, 1.24, 0.66, 9.26"
64,5,"1.22, 0.94, 1.50, 1.18, 58.02"
65,3,"2.36, 1.44, 2.58"
66,10,"1.20, 2.06, 1.26, 0.98, 1.60, 1.54, 1.54, 0.90, 2.20, 16.48"
67,12,"0.68, 1.02, 1.20, 1.90, 5.46, 0.62, 7.24, 4.76, 2.68, 2.44, 1.88, 0.54"
68,10,"1.24, 2.64, 0.58, 1.40, 1.02, 3.72, 0.60, 0.64, 0.58, 0.98"
69,13,"0.52, 1.44, 0.94, 1.06, 0.50, 0.56, 0.90, 0.52, 1.32, 0.60, 0.64, 0.72, 0.56"
70,13,"0.62, 0.60, 0.64, 0.50, 0.50, 0.78, 0.72, 0.96, 1.10, 0.54, 0.80, 0.94, 0.60"
71,12,"2.88, 2.38, 2.70, 1.68, 1.28, 2.56, 0.58, 2.20, 0.60, 0.66, 1.06, 1.06"
72,18,"3.54, 1.72, 2.96, 0.52, 1.74, 1.42, 2.38, 0.74, 1.34, 1.54, 1.24, 3.16, 1.28, 0.52, 0.56, 1.10, 0.58, 1.24"
73,9,"0.56, 1.04, 1.84, 8.06, 8.34, 0.56, 3.30, 1.44, 0.76"
74,18,"4.16, 0.52, 4.48, 1.08, 2.20, 1.10, 0.82, 0.50, 0.72, 1.50, 0.60, 0.64, 0.66, 1.02, 2.20, 2.52, 1.38, 2.94"
75,15,"0.98, 0.82, 0.76, 0.76, 0.56, 0.64, 0.68, 0.88, 1.76, 5.42, 1.38, 0.64, 0.84, 1.26, 0.66"
